nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:11:28 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:11:35 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/css/main.0fba13fd.css
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/css/main.0fba13fd.css.map
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:26:42 AM 127.0.0.1 GET /kdd_logo.png
